Track name,Artist name,Album,URL
"Kallolam (From ""Padi Padi Leche Manasu"")",Anurag Kulkarni,"Kallolam (From ""Padi Padi Leche Manasu"")",https://www.dailymotion.com/video/x710un1
When I Was Me - ShiShi Remix,Ryan Brahms,When I Was Me,https://soundcloud.com/shishimusic/ryan-brahms-when-i-was-me-shishi-remix?in=4eva4eva4evaeva%2Fsets%2Fdecember-2018
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),https://youtu.be/d_HlPboLRL8?si=41tu2M1DrEeGUHOC
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),https://www.youtube.com/results?search_query=Yeah%20USHER%20official%20audio
In The End - Instrumental,Tommee Profitt,In The End,
Telusaa Telusaa,Jubin Nautiyal,Sarrainodu,
Myself,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),
When I Was Me - ShiShi Remix,Ryan Brahms,When I Was Me,https://soundcloud.com/shishimusic/ryan-brahms-when-i-was-me-shishi-remix?in=4eva4eva4evaeva/sets/december-2018
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),https://soundcloud.com/auroraaksnes/runawaysingle?in=fowlys/sets/ah
Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),https://soundcloud.com/noisetimeofficial/usher-yeah-noisetime-edit
In The End - Instrumental,Tommee Profitt,In The End,https://soundcloud.com/tommeeprofitt/in-the-end-instrumental
Telusaa Telusaa,Jubin Nautiyal,Sarrainodu,https://www.youtube.com/results?search_query=Telusa%20Telusa%20Devi%20Sri%20Prasad%20official%20audio
Myself,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),https://soundcloud.com/user-187054221/myself-ft-medha-sahi
Untameable,Rachel Varghese,Four More Shots Please! (Original Series Soundtrack),https://soundcloud.com/rachelvarghese-music/untameable
Show You Who I Am,Saachi Rajadhyaksha,Four More Shots Please! (Original Series Soundtrack),https://soundcloud.com/saachirajadhyaksha/show-you-who-i-am
Hold on,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),https://soundcloud.com/muhib-m-hodekar/hold-on-by-medha-sahi-from-four-more-shots-please256k/albums
Your Body On My Body,Natania,Four More Shots Please! Season 2 (Original Series Soundtrack),https://soundcloud.com/strange_evil43/your-body-on-my-body-baby
"Alone, Pt. II",Alan Walker,"Alone, Pt. II",https://soundcloud.com/alanwalkerstyle/alan-walker-ava-max-alone-pt-ii-aws-remix
Astronomia,Vicetone,Astronomia,https://soundcloud.com/vicetone/vicetone-tony-igy-astronomia-2014?in=ga-708/sets/n
Runaway (U & I),Galantis,Pharmacy,https://soundcloud.com/wearegalantis/galantis-runaway-u-i-1?in=vd-mv/sets/a
Talking Body - Gryffin Remix,Tove Lo,Talking Body (Remixes),https://soundcloud.com/gryffinofficial/tove-lo-talking-body-gryffin-remix?in=gv8/sets/ehe
Don't Let Me Down (feat. Daya) - Zomboy Remix,The Chainsmokers,Don't Let Me Down (Remixes) (feat. Daya),https://soundcloud.com/zomboy/dlmd
Dessert - Remix,Dawin,Dessert,https://soundcloud.com/dawin/dessert-remix?in=johnny-geer-1/sets/ava
"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",Cash Cash,"Blood, Sweat & 3 Years",https://soundcloud.com/cashcash/cash-cash-devil-feat-busta-rhymes-bob-neon-hitch
All Around The World (La La La),R3HAB,All Around the World (La La La),https://soundcloud.com/r3hab/around-the-world-la-la-la?in=ttcix/sets/pa
Scared to Be Lonely,Martin Garrix,Scared to Be Lonely,https://soundcloud.com/martingarrix/stbl?in=fay9/sets/fe4
Alone,Alan Walker,Different World,https://soundcloud.com/alanwalker/alone?in=user-186570262%2Fsets%2Falan-walker
Dusk Till Dawn (feat. Sia) - Brooks Remix,ZAYN,Dusk Till Dawn (The Remixes) (feat. Sia),https://soundcloud.com/musicbybrooks/sets/zayn-ft-sia-dusk-till-dawn
FRIENDS - R3hab Remix,Marshmello,FRIENDS (R3hab Remix),https://soundcloud.com/marshmellomusic/friends-r3hab-remix?in=jujin-ba/sets/schule
In The Name Of Love - Snavs Remix,Martin Garrix,In The Name Of Love Remixes,https://soundcloud.com/snavs/martin-garrix-bebe-rexha-in-the-name-of-love-snavs-remix-1?in=smaysonacloud/sets/4duhladiez
Faded,Alan Walker,Different World,https://soundcloud.com/alanwalker/faded-1?in=onu-ck/sets/fav
Alone,Marshmello,Alone,https://soundcloud.com/marshmellomusic/alone?in=sroel/sets/z
All We Know,The Chainsmokers,All We Know,https://soundcloud.com/woymanda/the-chainsmokers-all-we-know-ft-phoebe-ryanmp4
Let Me Love You - Tiësto's AFTR:HRS Mix,DJ Snake,Let Me Love You (Tiësto's AFTR:HRS Mix),https://soundcloud.com/djsnake/let-me-love-you-tiestos-aftr?in=ben-hunt-2/sets/uni
Faded - Tiesto's Northern Lights Remix,Alan Walker,Faded (Remixes),https://soundcloud.com/alanwalker/faded-tiestos-northern-lights?in=itzel-ledesma%2Fsets%2Ffreaky-deaky-2016
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,POPWIKI 3,https://soundcloud.com/chros_h/mike-posner-i-took-a-pill-in-ibiza-seeb-extended-chris-mix
Lush Life - Alex Adair Remix,Zara Larsson,The Remixes,https://soundcloud.com/zaralarssonofficial/lush-life-alex-adair-remix
,,,https://soundcloud.com/fujiikaze/nan-nan?in=fujiikaze/sets/help-ever-hurt-never
like that,Bea Miller,chapter two: red,https://soundcloud.com/beamiller/like-that?in=9moaz6/sets/3-1
Mi Gente,J Balvin,Mi Gente,https://soundcloud.com/j-balvin-official/mi-gente-feat-beyonce?in=6860/sets/eng
Laxed – Siren Beat,Jawsh 685,Laxed (Siren Beat),https://soundcloud.com/jawsh685
Move Your Body - Alan Walker Remix,Sia,This Is Acting (Deluxe Version),https://soundcloud.com/siamusic/move-your-body-alan-walker?in=user-510251026/sets/all-approved-b3-songs_part3
Bilionera - Radio Edit,Otilia,Bilionera,https://soundcloud.com/otilia-official/otilia-bilionera-radio-edit?in=l-754/sets/pop
Run Free,Deep Chills,Run Free,https://soundcloud.com/deep-chills/runfree?in=dbx93/sets/w-w
"Duniyaa (From ""Luka Chuppi"")",Akhil,"Duniyaa (From ""Luka Chuppi"")",https://soundcloud.com/pranav_c/duniyaa-akhil-dhvani-bhanushali-slowed-reverbed?in=r4j4pr3m%2Fsets%2Fbollywood-essentials
Bulleya,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],https://soundcloud.com/user-396717218/bulleya-snippets-28-07-2018-1
Nashe Si Chadh Gayi,Vishal-Shekhar,Befikre,https://soundcloud.com/kishhhhhh/nashe-si-chadh-gayi-arijit-singh-vishal-shekhar-befikre-kish-bootleg?in=user-970794832/sets/chris-hindi
Thunder,Imagine Dragons,Evolve,https://soundcloud.com/danny-delgado-music/imagine-dragons-thunder-danny-delgado-remix?in=bi-s-n-3/sets/chilloutwithme
Rockstar,Ilkay Sencan,Rockstar,https://soundcloud.com/aimanasr/ilkay-sencan-dynoro-rockstar
Bom Diggy,Zack Knight,Bom Diggy - Single,https://soundcloud.com/djmacdmusic/bom-diggy-zack-knight-jasmin-walia-dj-macd-remix-submission
Rumors,R3HAB,Rumors,https://soundcloud.com/r3hab/rumors-with-sofia-carson?in=n-perm/sets/chill
Believer,Imagine Dragons,Evolve,https://soundcloud.com/gawtbass/believer-rmx
On My Way,Alan Walker,On My Way,https://soundcloud.com/user750282434/on-my-way-alan-walker?in=ojjhanov/sets/musik-fav
Happier,Marshmello,Happier,https://soundcloud.com/marshmellomusic/happier-ft-bastille?in=bcjam/sets/tt
Let Me Love You,DJ Snake,Encore,https://soundcloud.com/djsnake/let-me-love-you?in=user46638453/sets/4squqcppsi0v
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),https://soundcloud.com/jazlottay/fifth-harmony-ft-ty-dolla-ign-work-from-home
What Do You Mean?,Justin Bieber,Purpose (Deluxe),https://soundcloud.com/justinbieber/what-do-you-mean?in=asleroid/sets/hits
Takeaway (feat. Lennon Stella),The Chainsmokers,World War Joy...Takeaway,https://soundcloud.com/musicazura/illenium-the-chainsmokers-takeaway-feat-lennon-stella-azura-remix?in=user-38396390/sets/fav
Pachchadanamey,Hariharan,Sakhi,https://soundcloud.com/hariharan-official/pachchadanamey-1
Yenno Yenno,Achu,Nenu Meeku Thelusa (Original Motion Picture Soundtrack),https://soundcloud.com/achu-official/yenno-yenno
Memories,Maroon 5,Memories,https://soundcloud.com/jhuneabecovers/memories-maroon-5?in=ardi-ys/sets/a
Easier – Remix (with Charlie Puth),5 Seconds of Summer,Easier – Remix (with Charlie Puth),https://soundcloud.com/cormakmusic/5-seconds-of-summer-easier-cormak-remix
Illegal Weapon 2.0,Jasmine Sandlas,Street Dancer 3D,https://soundcloud.com/8d-theme-songs/8d-audio-illegal-weapon-20-street-dancer-3d-jasmine-sandlas-garry-sandhu-varun-shraddha?in=aisha-leena/sets/fub6ib24nqh6
Strending Kids,Ooyy,Khandi,https://soundcloud.com/ooyy-music/strending-kids?in=zepherw-1122/sets/epidemic-sounds
Satisfya,Imran Khan,Satisfya,https://soundcloud.com/imrankhanworld-1/imran-khan-satisfya?in=ziad-afandena/sets/romace
La Câlin,Serhat Durmus,La Câlin,https://soundcloud.com/serhatdurmusofficial/lecalin?in=pretty-papachio/sets/epic
Magenta Riddim,DJ Snake,Magenta Riddim,https://soundcloud.com/djsnake/magenta-riddim?in=emmo-4/sets/mix
Faded,Ooyy,Faded,https://soundcloud.com/ooyy-music/faded?in=pervez-umar/sets/hp05
Wild Karnataka,Ricky Kej,Wild Karnataka,https://soundcloud.com/ricky-kej-official/wild-karnataka-reprise
Taare Ginn,A.R. Rahman,Dil Bechara (Original Motion Picture Soundtrack),https://soundcloud.com/samusa-835534156/taare-ginn-ar-rahmanmohit
Beautiful Now,Zedd,True Colors,https://soundcloud.com/radiooneleb/zedd-beautiful-now-ft-jon-bellion?in=avi-lodd/sets/fav
Alarm,Anne-Marie,Speak Your Mind (Deluxe),https://soundcloud.com/iamannemarie/anne-marie-alarm?in=aly_5/sets/h
Instagram - Bassjackers Remix,Dimitri Vegas & Like Mike,Instagram (Bassjackers Remix),https://soundcloud.com/dimitrivegasandlikemike/instagram-bassjackers-remix?in=pm-and-stuff-playsgames/sets/dimitri-vegas-like-mike-1
Sorry,Justin Bieber,Purpose (Deluxe),https://soundcloud.com/user-733621314
Bad Blood,Taylor Swift,Bad Blood,https://soundcloud.com/taylorswiftofficial/bad-blood-taylors-version-feat?in=stidlmusicentertainment99%2Fsets%2Fflorida-ft-florence-the
7 rings,Ariana Grande,"thank u, next",https://soundcloud.com/arianagrande/7-rings?in=juju129/sets/ari
Cheap Thrills,Sia,This Is Acting,https://soundcloud.com/siamusic/cheap-thrills-1?in=leeeej/sets/jaes
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Red Pill Blues (Deluxe),https://soundcloud.com/irene_agustine/maroon-5-girls-like-you-ft-cardi-b-irene-agustine-remixfree-dowbload
Neeve,Yazin Nizar,Neeve,https://soundcloud.com/yazinnizar/neeve
Nippu Ra,Santhosh Narayanan,Kabali (Original Motion Picture Soundtrack),https://soundcloud.com/user-748199879/sets/fast-songs
911,R3HAB,911,https://soundcloud.com/r3hab/r3hab-x-timmy-trumpet-911?in=v-phan-9/sets/tuvt
Falling,Trevor Daniel,Falling,https://soundcloud.com/iamtrevordaniel/falling?in=zpd/sets/hmm
"i hate u, i love u (feat. olivia o'brien)",gnash,us,https://soundcloud.com/gnash/ihateuiloveu?in=avid06/sets/g
Starfields,Hallman,King of The Sun,https://soundcloud.com/esperantooo/hallman-starfields?in=jllefit/sets/workout
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,https://soundcloud.com/alexiarivamusic/dance-monkey-tones-and-i-live-acoustic-cover-by-alexia-riva
Ignite,Alan Walker,Ignite,https://soundcloud.com/user-446435724/alan-walker-k-391-ignite-lyrics-ft-julie-bergan-seungri?in=mohammed-zyyk/sets/g
,,,https://soundcloud.com/fujiikaze/nan-nan?in=fujiikaze/sets/help-ever-hurt-never
"Freak Out (From ""Disco Raja"")",Thaman S,"Freak Out (From ""Disco Raja"")",https://soundcloud.com/sthaman-scmusic/freak-out
ily (i love you baby) (feat. Emilee),Surf Mesa,ily (i love you baby) (feat. Emilee),https://soundcloud.com/surfmesa/emilee-ily-surf-mesa-remix?in=hba-s/sets/s
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),https://soundcloud.com/saintjhn/roses-imanbek-remix?in=gaetan-roussel-678856645/sets/soir-e-hits-playlist-soir-e-f
Udd Gaye - Bacardi House Party Sessions,Ritviz,Udd Gaye (Bacardi House Party Sessions),https://soundcloud.com/ritviz/ritviz-udd-gaye?in=shahmedatta%2Fsets%2Fbacardi-house-party-1
"Mr. Majnu - From ""Mr. Majnu""",Thaman S,Mr. Majnu (Original Motion Picture Soundtrack),https://soundcloud.com/thamans-music/sets/mr-majnu-1
